Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-03-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-02-08,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-01-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-31-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-30-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-29-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-28-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-27-07,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-26-07,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-25-07,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-24-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-23-07,0.38
